Logging to logs/lh_train_1_after
--------------------------------------
| ep_reward_mean          | 0.965    |
| eval_3_sr               | 0.672    |
| eval_5_sr               | 0.281    |
| eval_7_sr               | 0.0547   |
| fps                     | 28       |
| hard_ratio              | 0.01     |
| kl_loss                 | 0.00328  |
| low_level_sr            | 0.431    |
| n_updates               | 12       |
| pi_grad_norm            | 5.73     |
| policy_loss             | -0.00688 |
| priority_max            | 1.11     |
| priority_mean           | 0.0266   |
| priority_std            | 0.091    |
| rec2old_max             | 1        |
| rec2old_ratio           | 1        |
| restart_value_mean      | 0.94     |
| serial_timesteps        | 12288    |
| success_rate            | 0.4      |
| supervision_action_loss | nan      |
| time_elapsed            | 3.04e+04 |
| total_timesteps         | 851968   |
| value_loss              | 0.0755   |
| vf_grad_norm            | 2.32     |
--------------------------------------
--------------------------------------
| 0_success_rate          | nan      |
| 1_success_rate          | nan      |
| 2_success_rate          | 0.63     |
| 3_success_rate          | nan      |
| 4_success_rate          | 0.6      |
| 5_success_rate          | nan      |
| 6_success_rate          | 0.51     |
| adv_max                 | 6.31     |
| adv_min                 | -5.92    |
| aux_task_loss           | 1.87     |
| clipped_ratio           | 0.202    |
| cur2rec_max             | 1.02     |
| cur2rec_ratio           | 0.994    |
| cur_max_blocks          | 7        |
| entropy                 | 10.4     |
| ep_len_mean             | 30       |
| ep_reward_mean          | 1.02     |
| eval_3_sr               | 0.703    |
| eval_5_sr               | 0.344    |
| eval_7_sr               | 0.0859   |
| fps                     | 28       |
| hard_ratio              | 0.01     |
| kl_loss                 | 0.00366  |
| low_level_sr            | 0.439    |
| n_updates               | 13       |
| pi_grad_norm            | 5.66     |
| policy_loss             | -0.00857 |
| priority_max            | 1.08     |
| priority_mean           | 0.0266   |
| priority_std            | 0.0916   |
| rec2old_max             | 1        |
| rec2old_ratio           | 1        |
| restart_value_mean      | 0.949    |
| serial_timesteps        | 13312    |
| success_rate            | 0.42     |
| supervision_action_loss | nan      |
| time_elapsed            | 3.27e+04 |
| total_timesteps         | 917504   |
| value_loss              | 0.0778   |
| vf_grad_norm            | 2.37     |
--------------------------------------
--------------------------------------
| 0_success_rate          | nan      |
| 1_success_rate          | nan      |
| 2_success_rate          | 0.59     |
| 3_success_rate          | nan      |
| 4_success_rate          | 0.62     |
| 5_success_rate          | nan      |
| 6_success_rate          | 0.55     |
| adv_max                 | 6.63     |
| adv_min                 | -5.93    |
| aux_task_loss           | 1.89     |
| clipped_ratio           | 0.188    |
| cur2rec_max             | 1.01     |
| cur2rec_ratio           | 0.994    |
| cur_max_blocks          | 7        |
| entropy                 | 10.4     |
| ep_len_mean             | 30       |
| ep_reward_mean          | 1.11     |
| eval_3_sr               | 0.68     |
| eval_5_sr               | 0.438    |
| eval_7_sr               | 0.0781   |
| fps                     | 28       |
| hard_ratio              | 0.01     |
| kl_loss                 | 0.00346  |
| low_level_sr            | 0.446    |
| n_updates               | 14       |
| pi_grad_norm            | 6.17     |
| policy_loss             | -0.00801 |
| priority_max            | 1.4      |
| priority_mean           | 0.028    |
| priority_std            | 0.0966   |
| rec2old_max             | 1        |
| rec2old_ratio           | 1        |
| restart_value_mean      | 0.947    |
| serial_timesteps        | 14336    |
| success_rate            | 0.45     |
| supervision_action_loss | nan      |
| time_elapsed            | 3.5e+04  |
| total_timesteps         | 983040   |
| value_loss              | 0.076    |
| vf_grad_norm            | 2.35     |
--------------------------------------
--------------------------------------
| 0_success_rate          | nan      |
| 1_success_rate          | nan      |
| 2_success_rate          | 0.69     |
| 3_success_rate          | nan      |
| 4_success_rate          | 0.62     |
| 5_success_rate          | nan      |
| 6_success_rate          | 0.51     |
| adv_max                 | 6.57     |
| adv_min                 | -6.2     |
| aux_task_loss           | 1.87     |
| clipped_ratio           | 0.182    |
| cur2rec_max             | 1.02     |
| cur2rec_ratio           | 0.994    |
| cur_max_blocks          | 7        |
| entropy                 | 10.5     |
| ep_len_mean             | 30       |
| ep_reward_mean          | 1.15     |
| eval_3_sr               | 0.664    |
| eval_5_sr               | 0.438    |
| eval_7_sr               | 0.109    |
| fps                     | 28       |
| hard_ratio              | 0.01     |
| kl_loss                 | 0.00331  |
| low_level_sr            | 0.453    |
| n_updates               | 15       |
| pi_grad_norm            | 6.35     |
| policy_loss             | -0.00615 |
| priority_max            | 1.14     |
| priority_mean           | 0.0276   |
| priority_std            | 0.0974   |
| rec2old_max             | 1        |
| rec2old_ratio           | 1        |
| restart_value_mean      | 1        |
| serial_timesteps        | 15360    |
| success_rate            | 0.46     |
| supervision_action_loss | nan      |
| time_elapsed            | 3.74e+04 |
| total_timesteps         | 1048576  |
| value_loss              | 0.075    |
| vf_grad_norm            | 2.65     |
--------------------------------------
--------------------------------------
| 0_success_rate          | nan      |
| 1_success_rate          | nan      |
| 2_success_rate          | 0.63     |
| 3_success_rate          | nan      |
| 4_success_rate          | 0.74     |
| 5_success_rate          | nan      |
| 6_success_rate          | 0.54     |
| adv_max                 | 6.5      |
| adv_min                 | -6.51    |
| aux_task_loss           | 1.91     |
| clipped_ratio           | 0.195    |
| cur2rec_max             | 1.03     |
| cur2rec_ratio           | 0.997    |
| cur_max_blocks          | 7        |
| entropy                 | 10.4     |
| ep_len_mean             | 30       |
| ep_reward_mean          | 1.02     |
| eval_3_sr               | 0.656    |
| eval_5_sr               | 0.43     |
| eval_7_sr               | 0.0859   |
| fps                     | 28       |
| hard_ratio              | 0.01     |
| kl_loss                 | 0.00359  |
| low_level_sr            | 0.459    |
| n_updates               | 16       |
| pi_grad_norm            | 5.32     |
| policy_loss             | -0.00671 |
| priority_max            | 1.17     |
| priority_mean           | 0.0267   |
| priority_std            | 0.0965   |
| rec2old_max             | 1        |
| rec2old_ratio           | 1        |
| restart_value_mean      | 1.02     |
| serial_timesteps        | 16384    |
| success_rate            | 0.41     |
| supervision_action_loss | nan      |
| time_elapsed            | 3.98e+04 |
| total_timesteps         | 1114112  |
| value_loss              | 0.0797   |
| vf_grad_norm            | 2.46     |
--------------------------------------
--------------------------------------
| 0_success_rate          | nan      |
| 1_success_rate          | nan      |
| 2_success_rate          | 0.65     |
| 3_success_rate          | nan      |
| 4_success_rate          | 0.68     |
| 5_success_rate          | nan      |
| 6_success_rate          | 0.61     |
| adv_max                 | 6.5      |
| adv_min                 | -6.08    |
| aux_task_loss           | 1.93     |
| clipped_ratio           | 0.19     |
| cur2rec_max             | 1.02     |
| cur2rec_ratio           | 0.994    |
| cur_max_blocks          | 7        |
| entropy                 | 10.5     |
| ep_len_mean             | 30       |
| ep_reward_mean          | 0.884    |
| eval_3_sr               | 0.656    |
| eval_5_sr               | 0.484    |
| eval_7_sr               | 0.102    |
| fps                     | 28       |
| hard_ratio              | 0.01     |
| kl_loss                 | 0.0036   |
| low_level_sr            | 0.464    |
| n_updates               | 17       |
| pi_grad_norm            | 5.34     |
| policy_loss             | -0.0098  |
| priority_max            | 1.41     |
| priority_mean           | 0.028    |
| priority_std            | 0.0979   |
| rec2old_max             | 1        |
| rec2old_ratio           | 1        |
| restart_value_mean      | 1        |
| serial_timesteps        | 17408    |
| success_rate            | 0.36     |
| supervision_action_loss | nan      |
| time_elapsed            | 4.22e+04 |
| total_timesteps         | 1179648  |
| value_loss              | 0.0776   |
| vf_grad_norm            | 2.23     |
--------------------------------------
--------------------------------------
| 0_success_rate          | nan      |
| 1_success_rate          | nan      |
| 2_success_rate          | 0.61     |
| 3_success_rate          | nan      |
| 4_success_rate          | 0.58     |
| 5_success_rate          | nan      |
| 6_success_rate          | 0.46     |
| adv_max                 | 6.48     |
| adv_min                 | -6.43    |
| aux_task_loss           | 2        |
| clipped_ratio           | 0.191    |
| cur2rec_max             | 1.01     |
| cur2rec_ratio           | 0.994    |
| cur_max_blocks          | 7        |
| entropy                 | 10.5     |
| ep_len_mean             | 30       |
| ep_reward_mean          | 1        |
| eval_3_sr               | 0.547    |
| eval_5_sr               | 0.445    |
| eval_7_sr               | 0.172    |
| fps                     | 28       |
| hard_ratio              | 0.11     |
| kl_loss                 | 0.00357  |
| low_level_sr            | 0.469    |
| n_updates               | 18       |
| pi_grad_norm            | 5.15     |
| policy_loss             | -0.00955 |
| priority_max            | 1.22     |
| priority_mean           | 0.0296   |
| priority_std            | 0.103    |
| rec2old_max             | 1        |
| rec2old_ratio           | 1        |
| restart_value_mean      | 1.05     |
| serial_timesteps        | 18432    |
| success_rate            | 0.41     |
| supervision_action_loss | nan      |
| time_elapsed            | 4.46e+04 |
| total_timesteps         | 1245184  |
| value_loss              | 0.0803   |
| vf_grad_norm            | 2.55     |
--------------------------------------
--------------------------------------
| 0_success_rate          | nan      |
| 1_success_rate          | nan      |
| 2_success_rate          | 0.63     |
| 3_success_rate          | nan      |
| 4_success_rate          | 0.73     |
| 5_success_rate          | nan      |
| 6_success_rate          | 0.59     |
| adv_max                 | 6.56     |
| adv_min                 | -6.18    |
| aux_task_loss           | 2.02     |
| clipped_ratio           | 0.192    |
| cur2rec_max             | 1.02     |
| cur2rec_ratio           | 0.994    |
| cur_max_blocks          | 7        |
| entropy                 | 10.5     |
| ep_len_mean             | 30       |
| ep_reward_mean          | 1.19     |
| eval_3_sr               | 0.711    |
| eval_5_sr               | 0.461    |
| eval_7_sr               | 0.172    |
| fps                     | 28       |
| hard_ratio              | 0.11     |
| kl_loss                 | 0.00347  |
| low_level_sr            | 0.473    |
| n_updates               | 19       |
| pi_grad_norm            | 5.15     |
| policy_loss             | -0.0108  |
| priority_max            | 1.07     |
| priority_mean           | 0.0293   |
| priority_std            | 0.1      |
| rec2old_max             | 1        |
| rec2old_ratio           | 1        |
| restart_value_mean      | 1        |
| serial_timesteps        | 19456    |
| success_rate            | 0.49     |
| supervision_action_loss | nan      |
| time_elapsed            | 4.64e+04 |
| total_timesteps         | 1310720  |
| value_loss              | 0.077    |
| vf_grad_norm            | 2.55     |
--------------------------------------
--------------------------------------
| 0_success_rate          | nan      |
| 1_success_rate          | nan      |
| 2_success_rate          | 0.66     |
| 3_success_rate          | nan      |
| 4_success_rate          | 0.59     |
| 5_success_rate          | nan      |
| 6_success_rate          | 0.54     |
| adv_max                 | 6.52     |
| adv_min                 | -6.07    |
| aux_task_loss           | 1.97     |
| clipped_ratio           | 0.194    |
| cur2rec_max             | 1.01     |
| cur2rec_ratio           | 0.995    |
| cur_max_blocks          | 7        |
| entropy                 | 10.5     |
| ep_len_mean             | 30       |
| ep_reward_mean          | 1.11     |
| eval_3_sr               | 0.625    |
| eval_5_sr               | 0.484    |
| eval_7_sr               | 0.195    |
| fps                     | 28       |
| hard_ratio              | 0.11     |
| kl_loss                 | 0.00368  |
| low_level_sr            | 0.476    |
| n_updates               | 20       |
| pi_grad_norm            | 5.67     |
| policy_loss             | -0.0101  |
| priority_max            | 1.16     |
| priority_mean           | 0.029    |
| priority_std            | 0.0994   |
| rec2old_max             | 1        |
| rec2old_ratio           | 1        |
| restart_value_mean      | 1.03     |
| serial_timesteps        | 20480    |
| success_rate            | 0.44     |
| supervision_action_loss | nan      |
| time_elapsed            | 4.83e+04 |
| total_timesteps         | 1376256  |
| value_loss              | 0.0804   |
| vf_grad_norm            | 2.92     |
--------------------------------------
--------------------------------------
| 0_success_rate          | nan      |
| 1_success_rate          | nan      |
| 2_success_rate          | 0.67     |
| 3_success_rate          | nan      |
| 4_success_rate          | 0.59     |
| 5_success_rate          | nan      |
| 6_success_rate          | 0.54     |
| adv_max                 | 6.29     |
| adv_min                 | -6.1     |
| aux_task_loss           | 2.02     |
| clipped_ratio           | 0.192    |
| cur2rec_max             | 1.03     |
| cur2rec_ratio           | 0.996    |
| cur_max_blocks          | 7        |
| entropy                 | 10.5     |
| ep_len_mean             | 30       |
